Name	ORIG_FID	Latitude	Longitude
Padaha	11	24.34377207	81.02676918
Chheriya	13	24.70190447	81.79551145
Tala	21	24.74631222	81.80379652
Datainiha	41	24.73662129	81.84843565
Bhatimojra	84	25.04895432	81.37901913
Purniha	97	23.24194688	81.35860568
Khairi Kothar	106	24.68121431	80.84808931
Matiwa	120	24.68219848	80.86279387
Khairi Tukda	121	24.67842425	80.83519246
Arjunpur	125	24.99760807	80.67554027
Chakbelhai	128	24.56516057	81.577385
Titihari	141	24.53682727	81.56871569
Mahtiniya	143	24.68293466	81.82417588
Serimar	145	23.72497147	81.53996913
Kharra	146	24.76845688	81.67397043
Barha	150	24.16974356	81.00301172
Halawan	153	24.81603079	81.11379284
Kadrohi	154	24.89441566	81.07206534
Khadar	159	24.81902764	80.85262013
Bhardwaran Tola Unmulan	161	24.63547556	80.75483493
Chillapata	162	24.5820712	80.78498546
Rojhin Kap	163	23.48068952	80.58829499
Gudar	164	23.72753159	80.65945542
Tilaura	165	24.58410186	80.58354469
Mair Tola	166	23.64233714	81.57205608
Uraiha	167	23.26736996	81.38659532
Dagdaha	168	23.19261851	81.41000517
Umri	169	24.52207577	80.57311436
Kansa	170	23.07608782	81.74147023
Samda Tola	172	23.2620257	81.52797241
Devgai	173	23.15392065	81.51015028
Semarwar	174	23.21751632	81.82944736
Baruka	175	23.3767029	81.36154735
Kushhai	176	23.395998	81.41691093
Bachaha	177	23.71721423	81.52092405
Beldara	189	24.24344444	80.81743302
Ulicha	192	24.42839846	80.49054499
Bori	193	24.09338189	80.54882109
Salaiya Kap	194	24.03084169	80.443059
Yadubirnagar	195	24.13452807	80.61022966
Maharaj	196	24.42811123	80.5121823
Barkachhi	199	24.64295468	80.53392106
Karahiya	200	24.51330154	80.54555499
Madphai	201	24.4281756	80.673385
Khukhada Unmulan	202	24.41444116	81.03169407
Jhari Tukada	205	24.72255631	80.93459482
Mahuwar	209	24.54608605	82.09768106
Bigdari	210	25.00818074	80.57108615
Nawasta	212	24.79296616	80.83706427
Pujeria	214	25.05317822	80.61206041
Puranikpurwa	215	24.93446391	81.41862228
Rajapur	216	25.00149675	80.70598588
Nipaniya	220	24.01129186	81.13712912
Bedra	221	23.98845962	81.36018544
Ambar	223	24.11057291	81.27788522
Devri Khurd	224	24.16456307	81.10112318
Dokarbandh	225	23.91501559	81.58196841
Medra	226	24.15868913	81.64625034
Kishoura	228	24.46095269	81.21206534
Khatkhari Kothar	229	24.43714682	81.04907998
Chamarhar	230	24.70971349	81.81515083
Manakisar	231	24.27983387	81.32079607
Aharihatawa	232	24.25331553	81.19015383
Lauwa	233	24.6383005	81.39208144
Mirchwar	235	24.50228142	81.37296556
Neega	236	24.52211519	81.23309823
Pipara	237	24.49453045	81.26181945
Hardua	238	24.48329037	81.45858129
Jhanjhar	239	24.59102318	81.03370481
Shivpurchak	240	24.57730858	81.68036781
Kuaiyan	241	24.57572664	81.55080678
Bahera East	242	24.36081108	81.92917262
Dhanokhar	243	24.28487555	81.60038256
Laurkatan Triveni	244	24.67655852	81.69786146
Kaimhai	245	24.53308969	81.69657841
Ganigawan	246	24.69751319	81.72373477
Atariya Indradatt	248	24.60075171	81.80154602
Naharo	249	24.57575728	81.81286128
Gadauha	250	24.57211645	81.82794437
Kotar	251	24.47630439	81.91965027
Sarkhaniha	253	24.40227239	81.99849895
Basauda	255	24.35697451	82.30611021
Hauda Bandh	256	24.51160689	82.11705436
Marsar	257	24.48831381	81.94072028
Kunjhun Khurd	258	24.50952667	82.16151391
Purauna	259	24.92066096	81.41568786
Nivi	260	24.71710918	81.60826522
Lalhaiya	261	24.81120859	81.19275343
Bhashma	262	24.76157534	81.39390932
Mishragawan	263	24.82010974	81.03799177
Ganj	264	24.95409587	81.42201404
Kothar	265	24.7770798	81.69324602
Paikangaon	266	24.83098441	81.74832764
Bara Khurd	267	24.98519887	81.75690825
Barau	268	25.05574509	81.51961673
Khajuri	269	24.98234235	81.79359637
Atrauli	270	24.97963347	81.78633368
Sutipur	271	25.01985797	81.61247223
Karaundaha	272	24.73598911	82.17498153
Rautabandh	273	24.7261502	82.15592352
Kharra	302	24.77233012	81.67286214
Deori	303	24.08746409	82.53172161
Jaraudhi	304	24.0379557	82.51139736
Nawadih	305	24.04636875	82.65195555
Chingo	306	24.28022711	82.51601732
Rajarwar Tukda	438	24.69112012	81.04453237
Baisa	458	24.79343369	81.45122619
Sigti	24249	24.49982802	81.45623623
Bamhauri Kala	27885	24.69409591	80.82617081
Thagra	27935	24.68658706	80.81703918
Majhgawan	28097	24.69118581	80.7246189
Naiguwan	28203	24.86975531	80.5706132
Badhari Lilji	28336	24.46919915	81.19439178
Sahijana	28408	24.46255915	81.12464846
Birsinghpur	28424	24.45106734	81.1299662
Pateri	28462	24.49583694	81.21528256
Bagdara	28751	24.4796457	81.46513126
Chinraula	29298	23.568709	80.90267807
Sohas	29313	24.68635895	80.9399715
Dawadahiya	29321	23.71760095	81.50787482
Kholadhi	29396	23.37424727	82.01948746
Benipur	29474	24.68445942	80.83969957
Nagar Pawaiya	29504	24.66882207	80.76060724
Bhutha Tola	30284	24.10532552	81.25550077
Beohari Khurd	30316	24.09585316	81.13139339
Lakhanwar	31857	23.82507147	81.3861148
Sairhai Pahad	32145	24.20561217	81.32267211
Kuchlewa	32629	24.16705665	81.04593679
Belha	32690	24.16101784	81.04409193
Nagin	34742	23.33503759	81.87978921
Muhdola	35361	23.72804946	81.31153285
Khari	35474	23.63986208	81.39484477
Bhumkar	35735	23.41431507	81.91990617
Kusiyari	35867	24.2435593	80.77205627
Karaiya Bijuriya	36447	24.23222886	80.77513765
Bara Kalan	36855	24.10214914	80.8079284
Budhi	37247	24.58123685	80.48294744
Kartaha	37281	24.49192851	80.45191097
Bamuraha	37302	24.54008018	80.51276778
Bhairaha Kalan	37693	24.52549918	80.47592556
Bhairaha Khurd	37765	24.5195853	80.46992594
Deori Kodar	37804	23.77028349	80.59205491
Itaura Khurd	38041	24.58697344	80.52068214
Chaura	38127	24.45462898	80.99987638
Amiliya	38202	24.53672394	80.72929939
Ramna	38211	24.5748801	80.77671294
Gada	38217	24.56387766	80.63295031
Antarhar	38563	24.54794206	80.69535509
Parna	38825	23.7321343	80.63169602
Karuatal	38831	23.1611492	81.40753448
Matiwa	38912	24.67590921	80.87294359
Devrawar	39127	24.84875078	81.00357199
Nachnaura	39204	24.74577251	80.84629491
Kanchanpur	39276	24.74906645	80.80414175
Chhiwali Mal	39326	23.27210808	80.95132716
Lugdara Mal	39332	23.27225156	80.92938349
Lugdara Ryt	39337	23.25974013	80.91726371
Chhiwali Ryt	39340	23.24816203	80.94671508
Amni Pipariya Mal	39343	23.24819545	80.91767227
Londajhir Mal	39345	23.24492906	80.96501283
Amni Pipariya Ryt	39349	23.23591333	80.92950007
Batondha Mal	39353	23.22653108	80.9762603
Bairgala	39355	24.74008509	80.74096342
Bhardwara Ryt	39377	23.22505624	80.91355155
Pakar Mya Bagharra Mal	39380	23.21484627	80.94090119
Duhaniya Ryt	39388	23.20908232	80.94992498
Kudwari	39420	23.16239309	80.9987451
Mauhria	39458	24.77972422	80.8192597
Ajhwar Ryt	39468	23.12680758	81.02729557
Pakar Ryt	39470	23.22832447	80.94818485
Nowrozabad Khodargama	39474	23.34298687	80.96429498
Babal Kund	39475	23.34887554	80.78557129
Judmani	39476	23.34528029	80.76990964
Nawagaon	39477	23.34362932	80.80066647
Katangi	39479	23.34959253	80.80930958
Chhada Kalan	39480	23.33785025	80.99607233
Sakarwar	39481	23.34944192	80.81983469
Pinaura	39482	23.33328715	80.93646205
Deori Amhai	39483	23.33331709	80.92385931
Dagdauwa	39484	23.33171738	80.89650633
Lahangi	39485	23.34183469	80.87985986
Dhanwahi	39486	23.34515058	80.86356745
Ghulghuli	39487	23.34084444	80.85175452
Chhuihai	39488	23.32344139	80.86541471
Parsel	39489	23.33860141	80.83267885
Kanchanpur	39490	23.32970756	80.8172119
Patapara	39491	23.32391137	80.98124429
Pondi	39492	23.3222355	81.01689665
Gahira Tola	39493	23.32290652	80.84143914
Nausemar	39494	23.32215333	80.85271319
Karnpura	39497	23.31375458	80.87733241
Kurriha	39498	23.31062528	80.91164348
Karoundi	39499	23.30908626	80.82262653
Kohaka	39500	23.30366521	80.89546987
Amadongri	39501	23.29965732	80.92759343
Majhouli	39503	23.3026894	81.02384576
Maneri	39504	23.29752808	80.84881313
Maradari	39505	23.2927429	80.96083336
Changera	39506	23.28153817	80.98478449
Bandhwa Tola	39507	23.26555016	81.00110998
Kaneri	39511	23.28310865	80.86315259
Dulhari	39512	23.28508486	80.8912483
Amuwari	39513	23.28682639	81.02597148
Bhamraha	39516	23.15473158	81.3629923
Ranidadar	39517	23.26706825	80.90547006
Singhpur	39520	23.27024004	80.88002989
Kolauni	39521	23.27565575	80.84361039
Isanpura	39522	23.26363894	81.02623825
Semariha	39525	23.25975673	80.87232814
Bhodalkhar Abad	39528	23.14408097	81.41976094
Kalda	39529	23.2464166	81.01414359
Mahobadadar	39532	23.23323897	81.00612491
Padera	39533	23.21853971	81.03097925
Mudehna	39550	23.56138373	80.88611694
Salaiya	39724	23.57158157	80.52930469
Kouwajhar	39728	23.56513368	80.58093926
Mahuda	39730	23.57031047	80.56410014
Paharuwa	39732	23.5515458	80.54783808
